"GeneID"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"Ctcfl"	1.30538584444733	5.68756976009955	63.6239514765631	1.6075665213234e-15	5.60578409229851e-13
"Slc16a11"	-1.38414176404043	4.65093672484878	63.4634091832563	1.65414468765129e-15	5.73075204677007e-13
"Higd2a"	-1.33423437512594	5.03786161261091	63.3659474470291	1.72494593436842e-15	5.93748647976504e-13
"G6pc"	1.46243183585304	8.66378922025133	67.2238942211096	1.74726872667894e-15	5.97577104964752e-13
"Gstp3"	-1.68615805719485	3.56952576621362	63.4043295155362	1.85110970695248e-15	6.29058956656277e-13
"Hk2"	-2.70270989318868	2.03522660404929	63.0659472513561	2.03053669765518e-15	6.85665977405044e-13
"Polr2l"	-1.33936465169537	4.92760071967932	62.9148278433075	2.1687587426909e-15	7.2715744591963e-13
"Mup-ps1"	3.25256950606646	1.59228987004244	63.0484892622816	2.18066821635411e-15	7.2715744591963e-13
"Gsta2"	-1.49250089649326	4.09599871126549	62.4443905806351	2.75369878099125e-15	9.12534727094573e-13
"Ccdc85b"	-1.94728013357265	3.0392325228795	62.3936172943807	2.82559436854733e-15	9.30579853982133e-13
"Ndufa3"	-1.29986037173408	5.39360574599247	62.4559491586968	2.90404600481152e-15	9.50549487697602e-13
"Ndufab1"	-1.28613162650639	5.92273816397131	61.9552705071705	3.52982114065955e-15	1.14833260559518e-12
"Adgrf1"	3.81685069220261	1.18708415562064	61.6325656404591	4.20774619614812e-15	1.36058110789752e-12
"Uqcrq"	-1.33398907068675	7.65513348060409	61.4517279833022	4.58986904145274e-15	1.47520049981101e-12
"Ildr2"	-1.33447989609835	4.90839377341831	62.0469334847376	4.8932954329638e-15	1.56330533673603e-12
"Fam126a"	-1.36921083717524	4.57478603550976	61.1319939030518	5.42692264462971e-15	1.72346788011267e-12
"Cdk2ap2"	-1.33406721581946	4.76570367905123	60.8315577081041	6.24521119078245e-15	1.97160208675631e-12
"Rapgef4"	1.35179115923059	8.33515277792376	60.8376955864777	6.32539968076064e-15	1.9851708774566e-12
"Zfp871"	1.53925776509189	4.15274680268861	64.7682461352463	6.71536803666718e-15	2.08557241256689e-12
"Abhd2"	1.32420262742894	7.63315991867851	60.686248977404	6.72349174294802e-15	2.08557241256689e-12
"Ppl"	-1.49559057437878	3.9871413646712	60.4858899192092	7.74810920516779e-15	2.37738646841624e-12
"Cox8a"	-1.30377849755591	7.18587406779861	60.4056227526724	7.75336430012233e-15	2.37738646841624e-12
"Tmem176a"	-1.30445179172049	7.23507545736799	60.2948070023699	8.2728337154816e-15	2.51716300508823e-12
"Ttc39aos1"	-3.57724322658424	1.34644707020118	61.1946567717886	8.30357597315105e-15	2.51716300508823e-12
"Gm32281"	2.45011619207917	2.22117415858032	60.2551521941095	8.42894738903096e-15	2.54073237314672e-12
"Mybph"	-1.52129240190871	3.88743342022216	60.1855639657741	8.7461264936343e-15	2.62152857761163e-12
"Cebpe"	-1.89224106435934	3.05446808202942	59.8815950725592	1.01177168694872e-14	3.00624182453921e-12
"Fkbp2"	-1.29085837197564	5.09776071427102	59.9033128809015	1.01423261750428e-14	3.00624182453921e-12
"Anapc13"	-1.28414457178615	5.18469111815817	59.8507149192275	1.05922781298315e-14	3.12226417160718e-12
"Ndst1"	1.27123051912876	6.48247132438962	59.4438322609029	1.28651684526515e-14	3.77140292557316e-12
"Cyp4a12a"	1.30976462531361	7.6838805423625	59.232103952787	1.42457474432552e-14	4.15329706743166e-12
"Hao2"	-4.39336891862862	1.04090443119792	62.2895308890171	1.47203093713785e-14	4.2683297059302e-12
"Taldo1"	-1.27851052506417	6.8915747561314	59.0635013320547	1.53310946225288e-14	4.42140481835555e-12
"Pcsk9"	-1.56609559789068	3.70172347951827	58.9582285665176	1.63250977475383e-14	4.67030472986333e-12
"Cstb"	-1.31669928702475	4.73441363601923	58.9345430883012	1.63692198092786e-14	4.67030472986333e-12
"Gm11342"	1.31442983458494	4.74958754609261	58.9381399182642	1.64955413156769e-14	4.68131178625165e-12
"Gal3st1"	-1.86775170130984	3.06502891850417	58.894623465999	1.68319943063242e-14	4.72786208354358e-12
"Gm6344"	-2.14097116159047	2.63967763968394	58.8733034003339	1.68865508025986e-14	4.72786208354358e-12
"Saa4"	-1.30324337369209	7.62403291855577	58.8687789037345	1.69254148399682e-14	4.72786208354358e-12
"Kbtbd11"	-2.33245243628643	2.32864307285745	58.6279702766853	1.91283582251395e-14	5.3153921686764e-12
"Rarres1"	-1.26481319922196	6.61895523198811	58.5241414920627	2.0164631945842e-14	5.57431921350523e-12
"Cdh18"	-1.70853577073784	3.35892012268564	58.5233486427423	2.03399153524271e-14	5.59379125669095e-12
"Sel1l3"	1.26286840694397	5.25305009137286	58.4913055915954	2.05039038402261e-14	5.60997323891068e-12
"Serpinh1"	-1.55311386783192	3.71489088276528	58.4765401140148	2.14075074337786e-14	5.82732012303259e-12
"Tmem255b"	-1.42163030881164	5.18204736351493	66.3222201308856	2.32111083122533e-14	6.28620437453629e-12
"Pparg"	-1.36180941023834	4.42369784335119	58.1361237612301	2.45596743615053e-14	6.61783993035047e-12
"Rbp1"	-1.60947814701343	3.5625741926954	58.0578111217123	2.63846075054346e-14	7.07385911677113e-12
"Irgm2"	1.24811441722806	6.32809659801547	57.6997552172282	3.0873205832078e-14	8.23589075379427e-12
"1810058I24Rik"	-1.24618395695836	6.32865697732572	57.5171692351735	3.36387549389159e-14	8.92899747391034e-12
"Gm16323"	1.6078541822478	3.52436411328893	57.1776271328943	4.20308881537218e-14	1.11013563151758e-11
"Ugt2b1"	1.30719157549931	8.31264852903833	57.0743490236931	4.30727732990768e-14	1.12255288761944e-11
"AC155167.1"	1.96562104041873	4.33720185486144	84.5485870319269	4.31069352821648e-14	1.12255288761944e-11
"C6"	1.46685346366911	7.26623583113874	66.999755780132	4.31322216111529e-14	1.12255288761944e-11
"9030622O22Rik"	1.32332978018373	6.67138443866305	60.8327921059207	4.46864036627767e-14	1.15735616243695e-11
"Hba-a1"	-1.36881332829725	4.27576830639216	56.376682962829	6.07465166551289e-14	1.56570478410681e-11
"Ost4"	-1.24330074418152	5.12697182106558	55.9125056316918	7.72448864029614e-14	1.98136847320058e-11
"Apoa2"	-1.35072480484611	12.9531761954495	55.7280228746991	8.35375557812108e-14	2.13252593951911e-11
"Mmp12"	-3.81895394792639	1.03033625361114	55.6895119172264	8.51897300593195e-14	2.16434650850232e-11
"Paqr7"	-1.25545411001244	7.36606334047297	55.585335078803	8.98247656774546e-14	2.27128944226978e-11
"S100a1"	-1.22495875152381	6.44612131292909	55.3774599289419	9.98413110960548e-14	2.51265729759802e-11
"Mug1"	1.34454990250718	11.528818618835	55.4374001286076	1.01625970264483e-13	2.54556356409434e-11
"Rras"	-1.4091597526867	4.05447798289829	55.2824725912466	1.06156450919905e-13	2.64661921772416e-11
"Gm9826"	1.21512332640987	6.21053438273405	55.0278108343555	1.19816162862953e-13	2.97327987778005e-11
"Unc119"	-1.36712601367804	4.20302425552683	54.8953673105435	1.28456391541144e-13	3.17037763028482e-11
"Tmem238"	-1.82285453431295	3.02238522676643	54.8904507920115	1.28947190555696e-13	3.17037763028482e-11
"Ces1g"	-1.24616031489043	7.41764678759803	54.6255048366063	1.46359839656883e-13	3.58198923174938e-11
"Ube4bos1"	1.5439164554933	3.61888916054789	55.2031345112209	1.55932780729049e-13	3.79885006860136e-11
"Plcxd2"	1.45194770565168	6.74995387069118	65.5627302575476	1.75839560668357e-13	4.26434912742675e-11
"Hnmt"	-1.2936233146662	4.49999924619461	53.7916614881867	2.23701518530479e-13	5.40051905798944e-11
"Rex1bd"	-1.32232511380157	4.34506207330096	53.7916218634275	2.24714371004409e-13	5.40053416044966e-11
"Adh6-ps1"	1.21560638411819	5.75535683436681	54.7602877136475	2.40631930038464e-13	5.75714590284403e-11
"Ppif"	-1.20392894812136	5.30814217662263	53.6255936656954	2.43427329198743e-13	5.79802602443773e-11
"Txn1"	-1.23049240066088	7.34861693231903	53.5092491725432	2.58274917260486e-13	6.12432962693276e-11
"A230083G16Rik"	-1.20001046358596	5.39128807758508	53.5506046462298	2.61530304994252e-13	6.1740824612205e-11
"Fdx1"	-1.19621342748067	6.19269714195821	53.3844595882752	2.75208998487982e-13	6.46838136402173e-11
"Ankmy1"	-2.38762731175582	2.07734368867238	53.3163763659939	2.96176721414606e-13	6.93066518317258e-11
"Gm36041"	-1.36368092552338	4.12009326616839	53.1202356678945	3.14821117826831e-13	7.3347821394825e-11
"Naa38"	-1.53003669362396	3.57090803385148	53.1100395570734	3.16459106422153e-13	7.34088813258309e-11
"4930455C13Rik"	1.69082848521428	3.19895655228612	52.9544259310215	3.44353441945405e-13	7.95337194290614e-11
"Rn7s2"	3.11082536561694	1.37766240932879	53.121517146255	3.54863667560322e-13	8.16079364454564e-11
"Usp6nl"	1.21522045262706	5.01118058051023	52.8435917065575	3.64950499073147e-13	8.35673990431313e-11
"9030619P08Rik"	-1.78295506863942	3.01493721153735	52.8058184172073	3.73105795060816e-13	8.50697157430756e-11
"Mrgprb11-ps"	-2.14266042281242	2.40300176572387	52.7060116934248	3.8871361058288e-13	8.82512224060782e-11
"Slc16a1"	1.19594646779972	6.49355090799915	52.7424889926222	4.04639615406429e-13	9.14777008507593e-11
"Gcnt7"	2.30635405367899	2.1477964891329	52.5322720019135	4.24658067032779e-13	9.55982356556956e-11
"Moxd1"	7.14696226989879	0.268171169451781	52.4882138008999	4.36099874596276e-13	9.77614983585508e-11
"Gm26584"	2.12888551667998	2.43059747610136	52.9052233995232	4.49822921640499e-13	1.00415909365211e-10
"Cyp51"	-1.1788867653828	5.94216515999121	52.337403963529	4.68945798026153e-13	1.04248604842039e-10
"Tmprss11f"	-1.96496298534277	2.69392281182568	52.2952828311983	4.79110358768321e-13	1.06066286188242e-10
"Plscr2"	-1.17725006907818	5.78635150339734	52.2390800223993	4.93017250619636e-13	1.086940056707e-10
"Pgap1"	1.30061067007336	4.33233101765742	52.0492943500015	5.47365419580306e-13	1.20179371320445e-10
"Lifr"	1.21863942517925	7.5018115228042	52.048113065424	5.50192138657957e-13	1.20304922843516e-10
"Arl5a"	1.18104069985061	6.21252973806396	52.0621696324526	5.55813244061008e-13	1.210379755526e-10
"Gm32540"	3.0262124901416	1.41880057989112	52.069049776731	5.6034496553504e-13	1.21528800594272e-10
"Ric1"	1.1789138981529	5.43845808174692	51.9532508918186	5.72955187076538e-13	1.2376064006516e-10
"Tomm7"	-1.17953070878522	5.47726598971681	51.9509806501282	5.82092569853099e-13	1.25227358384566e-10
"Edf1"	-1.1865002329811	6.5606377240451	51.8280042502472	6.07797707137088e-13	1.30232253288695e-10
"Cox5a"	-1.19345365661952	6.88649946289839	51.6979868976278	6.52804442122101e-13	1.39316301602162e-10
"Gm10123"	-1.17670218998207	6.21844142141811	51.6624672292991	6.61250760259116e-13	1.40556620765357e-10
"Krt8"	-1.23686993299356	8.18726510798757	51.5793431744744	6.89841260916434e-13	1.46051987276486e-10
